Results of 3 bytes, method: ownmethod
cec44f1aa835c3b19e0f7edd3a413ec4052f3075833590e230ef42ab1b494438 , 1982
ed696dcddaf8e5d2750acae8e2f798497731a2afe7f0d61c32cfb0aa96ab3ad9 , 1428
1bf339dc7dfcecca69039f92797b459826910ac17661a8caee38fecd39e7995a , 1007
62f573ad95c8f17515c7e1dd916b79ed1b4a0212a8dcd30d4d5ce04ebf218d59 , 1837
873a3f4494e7d76cd823813f92698438fde9faad02495a11c3d9138a72757ff1 , 1748
7e8b259f223ec6213041e30bb4c32597c399d4e7378bd72e45c63bcb7bdf5fb6 , 345
b3022492bc545f32544ff4df9dd67f466035fba930d477ef48a824711a746b50 , 694
b1bf119ab333747e305870da3145de25e05342831da204a727602ae61fd2b395 , 355
27aed0c977e7b843c2b5594cf9fd9799c9ccb7e077063a996c3b1667e7fb4890 , 643
e4c4e5fd59fc8e8d807241dcb5cb05a099dd7d7b62813b59413d1c9e05ece210 , 1245
8f35b121de198d4feef4cfaaf000ead8af44665e22a5819d68f9ac25c73c3f6f , 1173
fcc7ec5b713fe3dfb57b5679c1907e39c5437b2dc73ed7398c0a81ed74f01a17 , 1649
10d76a3b2fbf9f2f89ca8676144c59806736e6d01b227c33d5a668f005158303 , 641
3b2b854725ac234ef69a2bc634d85c38c1732972435c1218e1b7222d484c0f59 , 535
771927fb970a82e8609f5450351f40596d64f0e9f47da5511d24cc98eee1c9ee , 735
921318f451224483430569b6e1028d58cf7dc07d773f952c600741e654dcba7b , 1171
4975e8ef0eeae56a2eb5cf1c45bd90728c4f5edf130990bc549d333975f7d4ec , 2260
58e3ecabe541366fe4a6117bc40890400b48d4883f95a64904299178ba4d530e , 247
d1b00fed01ef1b960de4dc1a50e28ac39d6d4c5b941987b61681faae678924cb , 2126
82a72e7a2d022c62ae89c12a54bf681a9cf94fb9b134f34b547124724c9c4f0b , 406
4a08eff6b71dbb9cf3c2a984d3232a09d59b220de1b15b29f09d0712af6a45c6 , 227
3e5435cf35f2f6698569dcc1458ce2425f410d04c885a7d9166ce7be2b97010e , 1322
e9684d6f2ddccef3709619347dc516ced430272b1da8d0e59927933563953b41 , 4315
81a449da218039baa324519ccbcb0850eb151d5c89235d41d52a2c1a56cee421 , 375
fb213d7073d2b84521ef84ad6dc7016a27fe415564a8abeac0bab978f52e753a , 59
15ffa397a5fade6d7413f8ceedf2a56b2eab8be4d02f80a54050823f3719e9b9 , 3107
85da85767c0ba24af9407252fbdd08542b03025190bafc0b53b8c52613d9281b , 418
0d041f2dcde0e8a8a1fe2018852d3b265e735592e2b2d0302e4b929ef40b5191 , 2482
baca4e3e49a814ed20d7023b23bd70cd23d0e99ea475925e34ab9c0c4c1adadd , 261
ab2b5bcbe69e144a94f9e23690c420a25bc0c7772105bcd1629f0a0a52c2fa06 , 706
686100549c04b550224368febefb0ec28c5d338a188689c600a80964dfa37a70 , 902
789f4cebbdb3f61302fec8c635a3a213e140726331d9eedacd469dfb1e153d40 , 1632
18458b1cbbde78827740a54e1b54413c96744a9b185237988191efe5aa594780 , 396
20e77766523bf796385b885204135ead6cc623b884205b67d00a0595f9ce544e , 1018
bfd660b924672ea050719356c6bf0a3d9b49856ab83d5443f4e3d0074297ecf8 , 603
072073078f3b9983c1abc4e5a6b748cb85c5fccb9f9d05ba5af1a10bf1fe89cb , 791
075056975a249ad3f2217825b31bcbd8dc957be9f6acf89dc27b45ba15f400e6 , 915
ec7275dc79bba543c1e3559c180a9bd279e7be949c49d3a7724763ea44c547cd , 1748
14d632ab5a0bfce154075a43be785fbd822d3708764d7fc7025cd676495d63a2 , 4708
d43f0fed3a986881e1163b36a92494053c3c2bcd1fd183a42f2736b11b5e7865 , 1396
b551dde33ca987d3ab82128a89cae598753a0823018e0730b157c6dcecead9eb , 789
34f47efdfd21aac87440dc30ec3a422f01a9964a080f98ebca103fda7c45bff4 , 1624
b21763c5d228aade89a1df83b6fc673012d9f40cef983a664e8587bd95193aa9 , 1951
b89b25bb006b754e2ab1b7c67ff36a77d4c3fd46e39ee16782a942a17d29f016 , 886
faad76d844ca8618dfbbdd2690434a1b68224fdc36cb1b49bd64f2b09755cc5f , 2094
f38d9986ef7023719a0fc4d6b00b6f84cbbe1369cdd3924fc9c695d2db39460c , 83
142814dcd8c0034a7c393fe940725a77313741d622cdfdd1a2f672ee7fed984c , 1910
73978d16b796d473191e624ffdc7752da66529c2182f6a3479adecc48945d4d7 , 241
